"vuosi","syrtun","oty","toimiala","SLHKY","sllvy"
1,"0001167",1,"H","5","6"
1,"0001168",1,"G","3","5"
1,"0001170",1,"O","4","1"
1,"0001171",1,"H","7","7"
1,"0001172",1,"F","4","7"
1,"0001173",1,"G","4","6"
1,"0001177",5,"G","5","7"
1,"0001178",1,"I","1","2"
1,"0001182",1,"G","7","7"
1,"0001185",1,"H","1","4"
1,"0001190",1,"G","4","6"
1,"0001191",1,"G","4","6"
1,"0001203",1,"D","1","4"
1,"0001205",1,"J","5","6"
1,"0001212",1,"D","2","4"
1,"0001213",1,"G","1","4"
1,"0001214",1,"L","1","2"
1,"0001217",1,"G","3","6"
1,"0001219",1,"S","3","1"
1,"0001220",1,"G","6","7"
1,"0001221",1,"M","2","4"
1,"0001222",1,"F","1","4"
1,"0001223",1,"O","4","1"
1,"0001224",1,"M","3","3"
1,"0001227",1,"G","9","9"
1,"0001228",1,"O","7","1"
1,"0001232",1,"X","1","3"
1,"0001233",1,"D","5","6"
1,"0001237",1,"I","3","5"
1,"0001238",3,"N","8","1"
1,"0001239",1,"F","2","5"
1,"0001241",1,"F","3","5"
1,"0001244",1,"D","7","8"
1,"0001246",1,"G","3","5"
1,"0001248",1,"D","7","9"
1,"0001249",1,"D","1","5"
1,"0001251",1,"F","3","5"
1,"0001255",1,"F","6","7"
1,"0001258",1,"H","9","8"
1,"0001260",2,"J","2","5"
1,"0001261",5,"D","7","7"
1,"0001264",1,"I","1","3"
1,"0001266",1,"O","4","1"
1,"0001267",1,"K","3","1"
1,"0001271",3,"N","7","1"
1,"0001275",1,"B","9","7"
1,"0001283",1,"F","2","5"
1,"0001287",3,"N","7","1"
1,"0001289",3,"N","6","1"
1,"0001290",1,"L","3","4"
1,"0001291",3,"N","9","1"
1,"0001292",1,"R","1","1"
1,"0001295",1,"F","1","4"
1,"0001296",3,"N","7","1"
1,"0001297",5,"G","7","8"
1,"0001300",1,"D","9","8"
1,"0001301",1,"S","7","1"
1,"0001302",1,"I","3","5"
1,"0001304",3,"R","4","5"
1,"0001307",1,"D","6","7"
1,"0001308",1,"B","1","3"
1,"0001309",1,"M","4","5"
1,"0001310",1,"F","2","4"
1,"0001311",1,"S","7","1"
1,"0001315",2,"D","7","7"
1,"0001316",1,"G","2","5"
1,"0001319",1,"O","7","7"
1,"0001325",1,"D","4","5"
1,"0001327",1,"D","1","2"
1,"0001329",1,"G","2","5"
1,"0001333",1,"G","3","5"
1,"0001336",1,,"1","3"
1,"0001341",2,"R","1","3"
1,"0001344",1,"G","1","5"
1,"0001347",1,"F","1","4"
1,"0001349",1,"D","5","6"
1,"0001351",1,"D","5","6"
1,"0001354",1,"M","3","5"
1,"0001355",1,"M","1","2"
1,"0001356",1,"G","5","7"
1,"0001359",1,"H","7","7"
1,"0001360",2,"O","7","1"
1,"0001362",1,"D","7","7"
1,"0001365",1,"D","4","5"
1,"0001369",1,"D","9","8"
1,"0001370",1,"B","1","4"
1,"0001372",1,"D","5","6"
1,"0001378",1,"G","7","8"
1,"0001381",3,"N","9","1"
1,"0001383",1,"K","5","1"
1,"0001386",1,"H","6","6"
1,"0001389",3,"N","9","1"
1,"0001390",1,"M","1","3"
1,"0001392",1,"P","2","1"
1,"0001393",1,"F","3","5"
1,"0001397",1,"D","3","5"
1,"0001399",1,"D","7","7"
1,"0001402",1,"F","2","4"
1,"0001403",3,"N","9","1"
1,"0001405",5,"G","5","7"
1,"0001406",1,"G","7","8"
1,"0001414",1,"G","2","5"
1,"0001416",3,"N","7","1"
1,"0001419",1,"G","4","6"
1,"0001421",1,"D","3","5"
1,"0001423",1,"I","1","4"
1,"0001426",1,"F","4","6"
1,"0001430",1,"G","1","4"
1,"0001431",5,"G","3","6"
1,"0001433",1,"G","9","9"
1,"0001435",1,"F","1","5"
1,"0001438",1,"G","5","7"
1,"0001439",1,"F","3","5"
1,"0001441",1,"I","1","4"
1,"0001442",1,"M","1","2"
1,"0001443",1,"D","5","6"
1,"0001444",1,"L","2","4"
1,"0001446",1,"F","1","4"
1,"0001448",1,"D","5","6"
1,"0001450",1,"P","5","1"
1,"0001452",1,"I","1","3"
1,"0001455",1,"P","1","2"
1,"0001456",1,"R","1","1"
1,"0001457",1,"M","1","3"
1,"0001459",1,"L","1","1"
1,"0001460",1,"D","4","6"
1,"0001461",1,"G","2","5"
1,"0001464",3,"N","6","1"
1,"0001466",1,"T","1","2"
1,"0001469",1,"D","2","5"
1,"0001472",3,"N","9","1"
1,"0001474",1,"D","9","9"
1,"0001477",1,"D","5","6"
1,"0001478",1,"D","2","4"
1,"0001480",1,"B","6","1"
1,"0001481",1,"M","5","6"
1,"0001484",1,"S","1","1"
1,"0001487",1,"F","3","5"
1,"0001497",1,"F","1","4"
